tick,type,king,knight,merc,amount,stake,p_knight,notes,trait,delta,invest,wealth_created,rv,threshold,employer,agent
9,defend_win,K-00,N-01,M-08,,289314,0.9370266439430035,knight wins (p=0.937),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
9,defend_win,K-00,N-01,M-09,,318245,0.9370266439430035,knight wins (p=0.937),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,8.8,319,,
9,defend_win,K-00,N-01,M-10,,350069,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
9,defend_win,K-00,N-01,M-11,,385076,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
9,defend_win,K-00,N-01,M-12,,423584,0.9168273035060777,knight wins (p=0.917),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
9,defend_win,K-00,N-01,M-13,,465942,0.9370266439430035,knight wins (p=0.937),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-00,,,,insufficient funds,,,,,8.55,319,,
10,defend_win,K-00,N-01,M-00,,512537,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-01,,,,insufficient funds,,,,,9.3,319,,
10,defend_win,K-00,N-01,M-01,,563790,0.9370266439430035,knight wins (p=0.937),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-02,,,,insufficient funds,,,,,10.05,319,,
10,defend_win,K-00,N-01,M-02,,620169,0.8581489350995123,knight wins (p=0.858),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-03,,,,insufficient funds,,,,,7.800000000000001,319,,
10,defend_win,K-00,N-01,M-03,,682186,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
10,defend_win,K-00,N-01,M-04,,750405,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,8.8,319,,
10,defend_win,K-00,N-01,M-05,,825445,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,9.05,319,,
10,defend_win,K-00,N-01,M-06,,907990,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,9.8,319,,
10,defend_win,K-00,N-01,M-07,,998789,0.8909031788043871,knight wins (p=0.891),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,9.3,319,,
10,defend_win,K-00,N-01,M-08,,1098668,0.9370266439430035,knight wins (p=0.937),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
10,defend_win,K-00,N-01,M-09,,1208534,0.9370266439430035,knight wins (p=0.937),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,8.8,319,,
10,defend_win,K-00,N-01,M-10,,1329388,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
10,defend_win,K-00,N-01,M-11,,1462327,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
10,defend_win,K-00,N-01,M-12,,1608559,0.9168273035060777,knight wins (p=0.917),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
10,defend_win,K-00,N-01,M-13,,1769415,0.9370266439430035,knight wins (p=0.937),,,,,,,,
